,0,1,2,3,4,5
0,3.3889325668001636e-10,3.388933484034892e-10,3.3889324337365687e-10,3.388932682355873e-10,3.38893313616709e-10,3.3889326212271347e-10
1,3.579372112280692e-10,3.5793716251217587e-10,3.5793722156528166e-10,3.5793719784709593e-10,3.5793717460065213e-10,3.5793719262563737e-10
2,1.680150388126142e-09,1.680150279029211e-09,1.6801504972695504e-09,1.680150418821822e-09,1.6801503913796054e-09,1.6801504925347553e-09
3,3.737311621307184e-09,3.737311766846437e-09,3.737311301089573e-09,3.737311548015521e-09,3.737311486992752e-09,3.73731147734365e-09
4,3.93687117060601e-09,3.936870743304151e-09,3.936871079784437e-09,3.936871076991386e-09,3.936870914717091e-09,3.936871025975134e-09
5,5.945769509025096e-09,5.945769473654839e-09,5.945769289289528e-09,5.945769891853139e-09,5.945769575852925e-09,5.945769722843e-09
6,0.1014609344686652,0.2886309344686652,-0.07022906553133484,0.0008909344686651813,-0.04372906553133474,-0.0009590655313348019
7,0.10130288208315433,0.15267288208315427,-0.07642711791684573,0.03126288208315436,-0.07104711791684581,-0.04750711791684573
8,-0.1514815682835746,0.09515843171642546,0.021258431716425403,-0.3399815682835747,-0.016201568283574688,0.0777784317164253
9,-0.07514952902671497,0.012190470973285055,0.05873047097328505,0.022790470973285112,-0.0197995290267149,-0.0126195290267149
10,-0.0453814804182539,0.16913851958174625,0.022408519581746028,-0.14791148041825394,-0.030691480418253935,0.09170851958174606
11,-0.029687009814638763,0.09564299018536103,-0.032187009814638845,0.03800299018536117,-0.02076700981463876,0.013232990185361239
12,2.1763668388710786e-19,-1.2989644106219495e-19,-2.4461450505541824e-20,-1.0902382434502285e-19,1.3760275539634836e-19,-5.162000060795507e-20
13,3.153910253340196e-19,-2.3957456507739386e-19,-1.5507787112697772e-19,-1.2922859995984377e-19,1.8563421379818827e-19,8.027080480591069e-20
14,3.4358120309321397e-19,-1.1932529492149932e-19,4.0599000815912914e-19,-1.7675464127342825e-19,-2.4601297682250966e-19,-1.7770363944781153e-19
15,1.2438770138631074e-19,-9.781127751630683e-20,-1.1360850255849035e-19,-6.589835497274808e-20,2.18611249837336e-19,-2.33074377025037e-20
16,1.2070318302157342e-19,-1.6470289842895212e-20,3.479386457222862e-19,-2.1101449833797454e-20,-4.39768059004096e-19,1.3415987392942e-20
17,1.1422007877401522e-19,-7.751106212883099e-20,-5.542381042481926e-20,-4.387301026210392e-20,7.922079660850699e-20,1.9449739674336015e-20
18,3.633184708811328e-19,-4.510381966012289e-19,-6.834237868470744e-19,-3.439672770917238e-19,-5.21069871724425e-19,1.6684468083826673e-18
19,4.497517008188596e-20,-1.6761334584344624e-19,-1.3122074172214655e-19,-1.9103305482724652e-20,-2.6266709987148724e-19,5.441056602877409e-19
20,5.100332682884054e-19,-4.676091979004927e-19,-9.465711310358826e-19,-5.68563577392375e-19,-3.834812810819323e-19,1.9065239563969122e-18
21,5.437576959337447e-20,-8.191929533111466e-20,-1.4299061760050513e-19,-7.709286954495319e-20,-5.505448724261705e-20,3.2359770897311295e-19
22,4.882741394125816e-19,-4.595846965978626e-19,-8.437323410468254e-19,-4.601306194746458e-19,-5.511254865806989e-19,1.8743517067618927e-18
23,2.514710584343725e-19,-2.0694817337268354e-19,-3.889827665789117e-19,-2.1342371653764514e-19,-2.3477480504208884e-19,8.280808293966035e-19
24,5.141558065679215e-17,-1.4367540632224677e-17,-8.707428766521041e-18,-2.6178449506856168e-17,1.3664892293471795e-17,-1.397094984827239e-17
25,3.5809983547537646e-17,-1.0001084957725019e-17,-5.983687778776535e-18,-1.8228501322217037e-17,9.501217551438013e-18,-9.800816378856971e-18
26,1.924590675143499e-16,-5.3789690680766884e-17,-3.285165817040071e-17,-9.799210716705308e-17,5.11304135807711e-17,-5.203348901760157e-17
